INFO 2024-10-03 15:16:05,529 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2024-10-03 15:16:05,556 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2024-10-03 15:16:05,578 basehttp "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 200 14601
INFO 2024-10-03 15:16:05,593 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2024-10-03 15:16:05,612 basehttp "GET /static/debug_toolbar/css/print.css HTTP/1.1" 200 43
INFO 2024-10-03 15:16:05,662 basehttp "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 200 4742
WARNING 2024-10-03 15:16:06,132 basehttp "GET /favicon.ico HTTP/1.1" 404 23956
INFO 2024-10-03 15:16:17,257 basehttp "GET /__debug__/render_panel/?store_id=5915534f380d4d36bee826a5003d3933&panel_id=SettingsPanel HTTP/1.1" 200 32407
INFO 2024-10-03 15:16:22,005 basehttp "GET /router/accounts/ HTTP/1.1" 200 25882
INFO 2024-10-03 15:16:24,688 basehttp "GET /__debug__/render_panel/?store_id=f1a7a398b60b468d9c301f75b717e28e&panel_id=SQLPanel HTTP/1.1" 200 12002
INFO 2024-10-03 15:16:28,090 basehttp "POST /__debug__/sql_select/ HTTP/1.1" 200 854
INFO 2024-10-03 15:17:11,320 autoreload Watching for file changes with StatReloader
INFO 2024-10-03 15:17:22,792 basehttp "GET /data-browser HTTP/1.1" 301 0
INFO 2024-10-03 15:17:23,158 basehttp "GET /data-browser/ HTTP/1.1" 302 0
INFO 2024-10-03 15:17:23,792 basehttp "GET /admin/login/?next=/data-browser/ HTTP/1.1" 200 16079
INFO 2024-10-03 15:17:23,885 basehttp "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2024-10-03 15:17:23,889 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2024-10-03 15:17:23,890 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2682
INFO 2024-10-03 15:17:23,890 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2024-10-03 15:17:23,894 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 21544
INFO 2024-10-03 15:17:23,895 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 17905
INFO 2024-10-03 15:17:23,902 basehttp "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2024-10-03 15:17:23,906 basehttp "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2024-10-03 15:17:23,931 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2024-10-03 15:17:23,931 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2024-10-03 15:17:23,987 basehttp "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
INFO 2024-10-03 15:18:00,500 basehttp "POST /admin/login/?next=/data-browser/ HTTP/1.1" 200 16253
INFO 2024-10-03 15:18:16,701 basehttp "POST /admin/login/?next=/data-browser/ HTTP/1.1" 200 16250
INFO 2024-10-03 15:18:35,736 basehttp "GET / HTTP/1.1" 200 22602
INFO 2024-10-03 15:18:42,704 basehttp "GET / HTTP/1.1" 200 22599
INFO 2024-10-03 15:18:46,103 basehttp "GET /__debug__/render_panel/?store_id=4671750fb0974769ae9b105c25cdb954&panel_id=TemplateTimings HTTP/1.1" 200 32
INFO 2024-10-03 15:18:55,423 basehttp "GET /__debug__/render_panel/?store_id=4671750fb0974769ae9b105c25cdb954&panel_id=VersionsPanel HTTP/1.1" 200 1754
INFO 2024-10-03 15:18:56,743 basehttp "GET /__debug__/render_panel/?store_id=4671750fb0974769ae9b105c25cdb954&panel_id=StaticFilesPanel HTTP/1.1" 200 143369
INFO 2024-10-03 15:18:59,583 basehttp "GET /__debug__/render_panel/?store_id=4671750fb0974769ae9b105c25cdb954&panel_id=RequestPanel HTTP/1.1" 200 956
INFO 2024-10-03 15:20:36,327 autoreload Watching for file changes with StatReloader
INFO 2024-10-03 15:21:07,006 basehttp "POST /admin/login/?next=/data-browser/ HTTP/1.1" 200 16257
INFO 2024-10-03 15:21:07,024 basehttp "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2024-10-03 15:21:07,028 basehttp "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2024-10-03 15:21:07,028 basehttp "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2024-10-03 15:21:07,082 basehttp "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
INFO 2024-10-03 15:21:21,036 basehttp "GET /__debug__/render_panel/?store_id=8e074329752c4b27aef7e21e5e3e6155&panel_id=SQLPanel HTTP/1.1" 200 18959
INFO 2024-10-03 15:21:24,542 basehttp "POST /__debug__/sql_select/ HTTP/1.1" 200 1428
INFO 2024-10-03 15:21:24,967 basehttp "POST /__debug__/sql_explain/ HTTP/1.1" 200 2483
INFO 2024-10-03 15:21:25,303 basehttp "POST /__debug__/sql_explain/ HTTP/1.1" 200 2483
INFO 2024-10-03 15:22:06,156 basehttp "GET /admin HTTP/1.1" 301 0
INFO 2024-10-03 15:22:06,425 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2024-10-03 15:22:06,681 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 16053
INFO 2024-10-03 15:22:33,440 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2024-10-03 15:22:35,284 basehttp "GET /admin/ HTTP/1.1" 200 29459
